Name,Cost,Mission/DilemmaType,Text
Your Galaxy Is Impure,3,S,Choose one: place this dilemma in your core; randomly select three personnel to be stopped; or randomly select two personnel to be killed.
Morphogenic Virus,0,D,"If six or more non- [Dom] personnel are attempting this mission, this dilemma is cost +4. Randomly select two personnel to be stopped (personnel cannot be excluded from this random selection)."
Occasional Emergency,3,S,"Unless you have Medical, all your personnel are stopped. Choose a personnel to be stopped for each of your Medical personnel attempting this mission."
Skeleton Crew *VP,0,D,"Place this dilemma on this mission. To begin a mission attempt at this mission, you must have at least six personnel involved. When you complete this mission, this dilemma is overcome."
Porthos,9,P,This dilemma is cost 3 for each planet dilemma beneath this mission. Your opponent chooses two personnel with Diplomacy or Leadership to be stopped.
Porthos *VP,9,P,This dilemma is cost 3 for each planet dilemma beneath this mission. Your opponent chooses two personnel with Diplomacy or Leadership to be stopped.
Adopted Authority (SS),3,D,"Randomly select a personnel. Unless that personnel has an attribute<5, he or she and a second randomly selected personnel are stopped and this dilemma returns to its owner's dilemma pile. Otherwise, he or she is stopped."
In Development (SS),6,D,"For each headquarters mission you command, this dilemma is cost -1. Randomly select a personnel who has a cost of 2 or less. All your other personnel who have a cost of 2 or less are stopped."
Infestation (SS),2,D,Your opponent may have more than three copies of this card in his or her dilemma pile. Your personnel can face more than one copy of this dilemma during each mission attempt. Choose a personnel to be stopped.
Nesting Symbiote,4,D,"Unless you have Geology, Law, Medical, Navigation, and Integrity>32 or four personnel with different costs, all your personnel are stopped."
Outmatched *VP,1,P,"For each dilemma your opponent consumes with this dilemma, add 10 Cunning to this dilemma's requirments. Unless you have Cunning>15, all your personnel are stopped."
Distress Call *VP,9,S,This dilemma is cost -3 for each mission you have completed. All your personnel are stopped.
Clashing Values,2,P,Randomly select three personnel. Each of those personnel that does not have Anthropology or Science is stopped.
Derelict Robot,3,D,Randomly select three personnel. Each of those personnel that does not have Diplomacy or Engineer is stopped.
Hall of Mirrors,4,S,"For each of your completed missions, this dilemma is cost -1. Unless you have Astrometrics, 2 Geology, and 2 Navigation or 2 Science, 2 Security, and Strength>38, randomly select two personnel to be killed."
Malfunctioning Generator,4,P,"For each of your completed missions, this dilemma is cost -1. Unless you have 2 Exobiology, 2 Physics, and Treachery or 2 Honor, 2 Medical, and Integrity>38, randomly select two personnel to be killed."
Organ Theft,1,P,"If a copy of this dilemma is on this mission, randomly select a personnel to be killed. Otherwise, if your opponent commands {Vidiia}, place this dilemma on this mission. When a personnel is captured or killed at this mission, each opponent may draw a card."
Security Lockout,2,S,Randomly select three personnel. Each of those personnel that does not have Programming or Security is stopped.
Reflections *VP,2,S,"Reveal a number of cards from the top of your deck equal to the number of [AU] cards your opponent commands. For each event or interrupt revealed, your opponent chooses a personnel to be stopped."
A Bad End (FOW),0,P,Randomly select one of your stopped personnel on this planet to be killed.
Alluring Spy (FOW),2,S,"Unless you have Diplomacy, 2 Exobiology, and Strength>42 or Intelligence, 2 Leadership, and Cunning>38, randomly select a Security personnel to be stopped, then this dilemma returns to its owner's dilemma pile."
Dragon's Teeth (FOW),3,D,"Randomly select two personnel. Unless their total cost is greater than the number of cards in your hand, they are killed."
Enemy Boarding Party (FOW),4,S,Randomly select three personnel. Each of those personnel who has Strength<6 is killed.
Justice or Vengeance (FOW),3,D,"Unless you have Anthropology and 2 Security or Exobiology, Honor, and Integrity>32, randomly select a Treachery personnel to be killed."
Night Terrors (FOW),1,S,"Choose a personnel who has Medical or Science to be stopped. If you cannot, randomly select a personnel to be killed."
Racial Tension (FOW),0,D,"Randomly select two personnel. Unless they are the same species, both are stopped."
The Weak Will Perish (FOW),3,D,"Randomly select a personnel. Unless that personnel has Telepathy or Strength>6, place this dilemma in your core. That personnel is killed."
Triage (FOW),1,P,"Choose a personnel who has Biology or Medical to be stopped. If you cannot, randomly select a personnel to be killed."
